file_path,manufacturer,model,displ,year,cyl,trans,drv,cty,hwy,fl,class
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,altima,2.4,1999,4,manual(m5),f,21,29,r,compact
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,altima,2.4,1999,4,auto(l4),f,19,27,r,compact
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,altima,2.5,2008,4,auto(av),f,23,31,r,midsize
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,altima,2.5,2008,4,manual(m6),f,23,32,r,midsize
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,altima,3.5,2008,6,manual(m6),f,19,27,p,midsize
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,altima,3.5,2008,6,auto(av),f,19,26,p,midsize
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,maxima,3,1999,6,auto(l4),f,18,26,r,midsize
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,maxima,3,1999,6,manual(m5),f,19,25,r,midsize
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,maxima,3.5,2008,6,auto(av),f,19,25,p,midsize
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,pathfinder 4wd,3.3,1999,6,auto(l4),4,14,17,r,suv
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,pathfinder 4wd,3.3,1999,6,manual(m5),4,15,17,r,suv
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,pathfinder 4wd,4,2008,6,auto(l5),4,14,20,p,suv
E:/Qualitest/Code/2021/Learn-R-Programming/004 How to write multiple files in R/car_data/nissan.csv,nissan,pathfinder 4wd,5.6,2008,8,auto(s5),4,12,18,p,suv
